badflag,customer_data_quality_flag,last_payment_amount,current_payment_method_fdd,pay_12m_balance_ratio,total_days_in_collection,total_balance,debt_age_weeks,analysis_date,new_account_number
0,1,0,0,-0.40033597,83,1257.96,26,31/12/2021,104
0,1,43,1,-6.2981424,0,12.07,1,31/12/2021,105
1,0,0,0,,83,10.65,27,31/12/2021,106
1,0,0,0,,22,57.65,5,31/12/2021,107
0,1,0,0,,0,23.37,0,31/12/2021,108
0,1,147,1,-2.4934993,0,701.45,25,31/12/2021,109
0,1,85,1,-13.084112,0,16.75,3,31/12/2021,110
0,1,0,0,-1.8882118,5,246.02,2,31/12/2021,111
0,1,0,0,-0.8989241,29,131.28,6,31/12/2021,112
0,1,236,1,-5.0458717,0,199.28,0,31/12/2021,113
0,1,102,1,-1.1479045,0,472,22,31/12/2021,114
0,1,0,0,-4.5001874,33,70.05,2,31/12/2021,115
1,1,120,1,-0.7731043,0,468.59,28,31/12/2021,116
0,0,0,0,,84,500.19,90,31/12/2021,117
1,0,0,0,,8,43.06,3,31/12/2021,118
1,1,0,0,,,133.09,4,31/12/2021,119
0,1,118,1,-6.0841,0,168.36,1,31/12/2021,120
0,1,0,0,-2.2024448,84,278.77,18,31/12/2021,121
1,1,0,0,,84,679.8,48,31/12/2021,122
0,0,13,1,-0.25157878,0,184.77,2,31/12/2021,123
0,1,10,0,-0.9314601,84,118.83,37,31/12/2021,124
0,1,80,1,-1.5403605,60,755.23,10,31/12/2021,125
0,1,175,1,-1.7327216,0,399.76,2,31/12/2021,126
1,0,0,0,,84,2461.4,94,31/12/2021,127
0,1,68,1,-3.6916065,0,121.65,1,31/12/2021,128
0,1,25,1,-18.908646,0,8.39,2,31/12/2021,129
0,0,85,1,-6.4538045,11,4.72,1,31/12/2021,130
0,1,87,1,-4.7739697,0,64.99,6,31/12/2021,131
0,1,0,0,-9.888442,18,91.92,3,31/12/2021,132
1,1,35,0,-0.8795747,84,512.98,46,31/12/2021,133
1,1,0,0,-0.44909224,84,127.7,35,31/12/2021,134
1,0,0,0,,84,924.9,31,31/12/2021,135
0,1,190,1,-2.7940931,0,445.06,16,31/12/2021,136
0,1,24,1,-13.116198,0,12.72,1,31/12/2021,137
0,0,68,1,-0.729927,1,96.86,2,31/12/2021,138
1,0,0,0,,0,312.37,1,31/12/2021,139
0,1,110,1,-8.330589,0,50.74,9,31/12/2021,140
1,1,0,0,,81,740.02,21,31/12/2021,141
0,0,0,0,,0,0.32,8,31/12/2021,142
1,0,0,0,-1.2360367,84,400.36,34,31/12/2021,143
0,1,109,1,-98.56631,0,1.16,2,31/12/2021,144
1,0,0,0,,17,346.33,4,31/12/2021,145
1,1,0,0,,84,2377.5,90,31/12/2021,146
0,1,0,0,-1.652374,43,181.24,8,31/12/2021,147
1,1,305,1,,84,5456.18,102,31/12/2021,148
1,0,0,0,,80,27.9,12,31/12/2021,149
0,0,135,1,-9.574781,0,21.96,3,31/12/2021,150
1,0,0,0,,37,817,11,31/12/2021,151
0,1,0,0,-0.8576914,29,31.67,6,31/12/2021,152
0,1,0,0,-8.633878,0,120.94,0,31/12/2021,153
0,0,0,0,,0,2.36,4,31/12/2021,154
0,0,191,1,-5.615848,0,199.11,6,31/12/2021,155
